order_no,id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,filled_avg_price,qty,filled_qty,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm,asset_id,symbol,current_price,pnl
752,c0e07341-80e8-43e7-8c30-3428daa020bf,2023-06-07 18:35:24.911182+00:00,2023-06-07 18:37:20.314140+00:00,2023-06-07 18:35:24.909868+00:00,2023-06-07 18:37:20.292959+00:00,,,,,61.347516201,27.0,27.0,limit,buy,gtc,61.347516201,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-44.48293742699986
753,94a82047-8a35-4acd-8f82-998ff22bda82,2023-06-07 18:35:22.553750+00:00,2023-06-07 18:35:22.563713+00:00,2023-06-07 18:35:22.552135+00:00,2023-06-07 18:35:22.555763+00:00,,,,,19.7852381,104.0,104.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-271.9847623999999
754,8e51fbdc-7a09-4ce6-9b2c-af152c76056f,2023-06-07 18:35:22.512042+00:00,2023-06-07 18:35:22.563522+00:00,2023-06-07 18:35:22.510893+00:00,2023-06-07 18:35:22.514061+00:00,,,,,19.7852381,33.0,33.0,limit,buy,gtc,19.807430076,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-86.30285729999997
755,1ded5e96-8cc8-4e5a-b462-3da47f078824,2023-06-07 18:35:19.917592+00:00,2023-06-07 18:35:19.964333+00:00,2023-06-07 18:35:19.916311+00:00,2023-06-07 18:35:19.919428+00:00,,,,,92.03932,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-69.72503999999998
756,99c6a4b1-d0c5-4447-964a-651a877eba09,2023-06-07 18:35:19.876464+00:00,2023-06-07 18:35:19.914192+00:00,2023-06-07 18:35:19.875294+00:00,2023-06-07 18:35:19.878531+00:00,,,,,92.03932,13.0,13.0,limit,buy,gtc,92.231768375,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-41.20115999999999
757,c4dd2c17-e800-494f-a039-6d2429cd3ded,2023-06-07 18:35:17.259914+00:00,2023-06-07 18:35:17.313827+00:00,2023-06-07 18:35:17.258759+00:00,2023-06-07 18:35:17.262185+00:00,,,,,115.6305467,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-82.11929389999999
758,66c59882-bce7-4847-a73d-70f650d744e7,2023-06-07 18:35:17.220319+00:00,2023-06-07 18:35:25.364291+00:00,2023-06-07 18:35:17.219195+00:00,2023-06-07 18:35:25.314637+00:00,,,,,115.576386304,13.0,13.0,limit,buy,gtc,115.576386304,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-62.09302195199999
759,59cf44e6-1e5a-49ff-84ea-64c88e1a1fd3,2023-06-07 18:35:14.797070+00:00,2023-06-07 18:35:14.813811+00:00,2023-06-07 18:35:14.795800+00:00,2023-06-07 18:35:14.799023+00:00,,,,,6.197839822,335.0,335.0,market,buy,gtc,,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,-79.34134036999981
760,e4306bfc-af0f-446e-82d0-cf21742cf2d6,2023-06-07 18:35:14.754628+00:00,2023-06-07 18:35:14.763632+00:00,2023-06-07 18:35:14.753461+00:00,2023-06-07 18:35:14.757424+00:00,,,,,6.19456,160.0,160.0,limit,buy,gtc,6.19469159,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,-37.36959999999996
761,68e64ffe-9ed8-4957-a296-505675e6f12b,2023-06-07 18:30:28.199633+00:00,2023-06-07 18:30:28.214228+00:00,2023-06-07 18:30:28.198459+00:00,2023-06-07 18:30:28.201621+00:00,,,,,61.508038824,33.0,33.0,market,buy,gtc,,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-59.665281192000016
762,b71a3e67-20c3-411c-bbef-dfb89a5f3a2e,2023-06-07 18:30:28.155067+00:00,2023-06-07 18:37:20.364030+00:00,2023-06-07 18:30:28.153942+00:00,2023-06-07 18:37:20.341327+00:00,,,,,61.328930097,27.0,27.0,limit,buy,gtc,61.328930097,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-43.981112618999845
763,6fa18be5-e5d5-4a9b-bb47-e498a954766a,2023-06-07 18:30:26.350310+00:00,2023-06-07 18:30:26.364029+00:00,2023-06-07 18:30:26.348857+00:00,2023-06-07 18:30:26.352365+00:00,,,,,116.2,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-91.8000000000001
764,c35f83bf-08cc-4da4-b587-3244276a891a,2023-06-07 18:30:26.307459+00:00,2023-06-07 18:35:25.364127+00:00,2023-06-07 18:30:26.305950+00:00,2023-06-07 18:35:25.314642+00:00,,,,,115.55391554,13.0,13.0,limit,buy,gtc,115.55391554,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-61.80090202000011
765,8f2f0781-79b8-4d8f-9e0c-3857d795bf89,2023-06-07 18:30:23.287334+00:00,2023-06-07 18:30:23.313672+00:00,2023-06-07 18:30:23.285991+00:00,2023-06-07 18:30:23.289392+00:00,,,,,1939.16922763,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-99.54922763000013
766,41593d82-413a-44ae-a5c0-7ddc4590dc40,2023-06-07 18:30:23.245145+00:00,2023-06-07 18:45:04.864311+00:00,2023-06-07 18:30:23.243966+00:00,2023-06-07 18:45:04.842864+00:00,,,,,1921.974225489,1.0,1.0,limit,buy,gtc,1921.974225489,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-82.3542254890001
767,7d4dd766-aed5-4f73-a11d-e7827e46a0ad,2023-06-07 18:30:21.234242+00:00,2023-06-07 18:30:21.264592+00:00,2023-06-07 18:30:21.233005+00:00,2023-06-07 18:30:21.236412+00:00,,,,,6.220877269,335.0,335.0,market,buy,gtc,,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,-87.05888511499984
768,d4fd92cd-9691-4da6-b8a9-bb1233e9da5a,2023-06-07 18:30:21.193336+00:00,2023-06-07 18:39:01.663913+00:00,2023-06-07 18:30:21.192112+00:00,2023-06-07 18:39:01.655865+00:00,,,,,6.18159875,215.0,215.0,limit,buy,gtc,6.18159875,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,-47.42873124999994
769,53541abf-d5b8-4ea3-814d-39c8181548e3,2023-06-07 18:30:19.358404+00:00,2023-06-07 18:30:19.363622+00:00,2023-06-07 18:30:19.357345+00:00,2023-06-07 18:30:19.360661+00:00,,,,,92.1980434,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-73.21695479999997
770,d6c7ee74-5e76-4919-83e5-2818b62b9f35,2023-06-07 18:30:19.312944+00:00,2023-06-07 18:30:19.363328+00:00,2023-06-07 18:30:19.311781+00:00,2023-06-07 18:30:19.314945+00:00,,,,,92.1980434,14.0,14.0,limit,buy,gtc,92.233527888,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-46.59260759999998
771,eb57ea4e-81b0-48df-a77d-f46fbeb67cd9,2023-06-07 18:30:17.099995+00:00,2023-06-07 18:30:17.114009+00:00,2023-06-07 18:30:17.098701+00:00,2023-06-07 18:30:17.101903+00:00,,,,,19.89961286,104.0,104.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-283.87973744
772,6b3ae6fb-407e-4593-a15d-129b2ce756c9,2023-06-07 18:30:17.059386+00:00,2023-06-07 18:35:10.413568+00:00,2023-06-07 18:30:17.057885+00:00,2023-06-07 18:35:10.394857+00:00,,,,,19.80002076,42.0,42.0,limit,buy,gtc,19.80002076,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-110.46087191999987
773,6031c2af-2bb4-495c-b418-c05fe4abc1f4,2023-06-07 18:25:25.686839+00:00,2023-06-07 18:25:25.714558+00:00,2023-06-07 18:25:25.685723+00:00,2023-06-07 18:25:25.688794+00:00,,,,,61.329097584,33.0,33.0,market,buy,gtc,,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-53.760220272000005
774,948565ff-f996-4d99-90e9-8ac4609505bc,2023-06-07 18:25:25.642520+00:00,2023-06-07 18:25:25.714203+00:00,2023-06-07 18:25:25.641304+00:00,2023-06-07 18:25:25.677325+00:00,,,,,61.27961515,28.0,28.0,limit,buy,gtc,61.335069486,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-44.22922419999986
775,8b1507f2-d517-4546-b41f-9822722df70a,2023-06-07 18:25:22.753873+00:00,2023-06-07 18:25:22.763673+00:00,2023-06-07 18:25:22.752480+00:00,2023-06-07 18:25:22.756104+00:00,,,,,116.0,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-88.40000000000005
776,4561146c-a0b5-44ab-b88b-c28783459de1,2023-06-07 18:25:22.712619+00:00,2023-06-07 18:35:25.414205+00:00,2023-06-07 18:25:22.711372+00:00,2023-06-07 18:35:25.364116+00:00,,,,,115.537240872,13.0,13.0,limit,buy,gtc,115.537240872,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-61.58413133600001
777,9b6a45dd-3a66-4104-b59a-568178ab192f,2023-06-07 18:25:20.124398+00:00,2023-06-07 18:25:20.164366+00:00,2023-06-07 18:25:20.123103+00:00,2023-06-07 18:25:20.126823+00:00,,,,,1936.16154575,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-96.54154575000007
778,bc962259-7d24-44f4-aa1c-cbae21d3c9ab,2023-06-07 18:25:20.084002+00:00,2023-06-07 18:45:04.864012+00:00,2023-06-07 18:25:20.082679+00:00,2023-06-07 18:45:04.842877+00:00,,,,,1921.428685445,1.0,1.0,limit,buy,gtc,1921.428685445,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-81.80868544500004
779,7b4a1f4f-1e8e-4b91-bdee-16812b504e98,2023-06-07 18:25:18.084155+00:00,2023-06-07 18:25:18.113848+00:00,2023-06-07 18:25:18.082896+00:00,2023-06-07 18:25:18.086357+00:00,,,,,6.185753945,335.0,335.0,market,buy,gtc,,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,-75.29257157499993
780,38c32883-dc8e-44fa-af18-708a07f2cca4,2023-06-07 18:25:18.042316+00:00,2023-06-07 18:40:15.013588+00:00,2023-06-07 18:25:18.041080+00:00,2023-06-07 18:40:15.007824+00:00,,,,,6.177443555,269.0,269.0,limit,buy,gtc,6.177443555,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,-58.22331629499991
781,bc3a6225-bb2b-4b9e-a516-0fc2e63908d0,2023-06-07 18:25:16.105567+00:00,2023-06-07 18:25:16.114094+00:00,2023-06-07 18:25:16.104232+00:00,2023-06-07 18:25:16.107779+00:00,,,,,91.93990177,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-67.53783894000003
782,21acd5cf-b6c5-4f68-89d5-9df0a38bbcde,2023-06-07 18:25:16.065207+00:00,2023-06-07 18:25:16.113828+00:00,2023-06-07 18:25:16.063822+00:00,2023-06-07 18:25:16.068059+00:00,,,,,91.93990177,14.0,14.0,limit,buy,gtc,92.249690299,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-42.97862478000002
783,c1ae59c4-8d5c-4a6f-9615-8799182d6379,2023-06-07 18:25:13.040978+00:00,2023-06-07 18:25:13.064162+00:00,2023-06-07 18:25:13.039699+00:00,2023-06-07 18:25:13.043269+00:00,,,,,19.8799218,104.0,104.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-281.83186720000003
784,ef78176e-4ce7-4dca-aec6-26d74c4bd87a,2023-06-07 18:25:12.997338+00:00,2023-06-07 18:35:18.413612+00:00,2023-06-07 18:25:12.995991+00:00,2023-06-07 18:35:18.400066+00:00,,,,,19.792094862,48.0,48.0,limit,buy,gtc,19.792094862,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-125.86055337599987
785,4a425955-3dc6-44fa-b728-07f1e13eaab8,2023-06-07 18:20:32.671831+00:00,2023-06-07 18:20:32.714119+00:00,2023-06-07 18:20:32.670601+00:00,2023-06-07 18:20:32.673777+00:00,,,,,115.68473016,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-83.04041272000006
786,92741077-b926-4dc3-b915-4e7ffd49f2e4,2023-06-07 18:20:32.623682+00:00,2023-06-07 18:35:25.413921+00:00,2023-06-07 18:20:32.622273+00:00,2023-06-07 18:35:25.364121+00:00,,,,,115.531513627,13.0,13.0,limit,buy,gtc,115.531513627,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-61.50967715099998
787,a009de59-8387-49b2-82f0-08f015bd3aac,2023-06-07 18:20:30.554457+00:00,2023-06-07 18:20:30.563866+00:00,2023-06-07 18:20:30.552941+00:00,2023-06-07 18:20:30.556992+00:00,,,,,6.177443555,335.0,335.0,market,buy,gtc,,,filled,False,,,,,faf30512-0c0d-4ff8-a7a0-169c747d1e9c,LINK/USD,5.961,-72.5085909249999
788,3e40ee8d-7987-4961-a7c8-212673c9bd42,2023-06-07 18:20:28.788787+00:00,2023-06-07 18:20:28.813875+00:00,2023-06-07 18:20:28.787580+00:00,2023-06-07 18:20:28.791011+00:00,,,,,92.125,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-71.6099999999999
789,8b2aad45-91c0-49cf-9c83-4f7b532c427d,2023-06-07 18:20:28.742448+00:00,2023-06-07 18:20:28.763878+00:00,2023-06-07 18:20:28.741324+00:00,2023-06-07 18:20:28.744579+00:00,,,,,92.14,14.0,14.0,limit,buy,gtc,92.256613781,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-45.779999999999944
790,a158dc8a-406f-4e85-8d88-af5b99744d7d,2023-06-07 18:20:26.328770+00:00,2023-06-07 18:20:26.363743+00:00,2023-06-07 18:20:26.327507+00:00,2023-06-07 18:20:26.330989+00:00,,,,,1929.62637,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-90.00637000000006
791,f6dc77ad-5fea-4366-82c3-4ffd40d23a4b,2023-06-07 18:20:26.287906+00:00,2023-06-07 18:45:04.864486+00:00,2023-06-07 18:20:26.286463+00:00,2023-06-07 18:45:04.842881+00:00,,,,,1921.100856884,1.0,1.0,limit,buy,gtc,1921.100856884,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-81.4808568840001
792,2f0d66b3-9799-43b4-8e81-478f85cb364f,2023-06-07 18:20:24.018627+00:00,2023-06-07 18:20:24.063394+00:00,2023-06-07 18:20:24.017322+00:00,2023-06-07 18:20:24.020543+00:00,,,,,61.513,33.0,33.0,market,buy,gtc,,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-59.828999999999844
793,8b68f908-c444-4b72-9238-aae87e39dc4e,2023-06-07 18:20:23.977017+00:00,2023-06-07 18:20:24.063599+00:00,2023-06-07 18:20:23.975598+00:00,2023-06-07 18:20:24.027789+00:00,,,,,61.262556916,29.0,29.0,limit,buy,gtc,61.311806526,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-45.31415056399995
794,7d2b0bee-765f-4856-9e17-d228b0aae9c6,2023-06-07 18:16:43.289296+00:00,2023-06-07 18:16:43.314189+00:00,2023-06-07 18:16:43.288063+00:00,2023-06-07 18:16:43.291586+00:00,,,,,1921.4803,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-81.86030000000005
795,5a218009-af11-4718-be2c-9f2039de4822,2023-06-07 18:16:43.241714+00:00,2023-06-07 18:16:56.913923+00:00,2023-06-07 18:16:43.240581+00:00,2023-06-07 18:16:56.890395+00:00,,,,,1921.085050713,1.0,1.0,limit,buy,gtc,1921.085050713,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-81.46505071300021
796,51bf869f-16ed-430d-81c2-92b8316de9c0,2023-06-07 18:16:40.202411+00:00,2023-06-07 18:16:40.214138+00:00,2023-06-07 18:16:40.201078+00:00,2023-06-07 18:16:40.204415+00:00,,,,,61.335162933,33.0,33.0,market,buy,gtc,,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-53.96037678899989
797,8fcc4f31-d959-4e7c-b201-b1799e976beb,2023-06-07 18:16:40.158231+00:00,2023-06-07 18:16:40.213777+00:00,2023-06-07 18:16:40.157115+00:00,2023-06-07 18:16:40.180591+00:00,,,,,61.278419497,31.0,31.0,limit,buy,gtc,61.31450257,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-48.93100440699996
798,a176d2ae-c366-46e0-8257-5715587cb40e,2023-06-07 18:16:37.091951+00:00,2023-06-07 18:16:37.113372+00:00,2023-06-07 18:16:37.090831+00:00,2023-06-07 18:16:37.094735+00:00,,,,,19.8,104.0,104.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-273.51999999999987
799,203c5cdf-5937-4769-81d7-0817882591cb,2023-06-07 18:16:37.050697+00:00,2023-06-07 18:22:03.663853+00:00,2023-06-07 18:16:37.049349+00:00,2023-06-07 18:22:03.657396+00:00,,,,,19.7948426,74.0,74.0,limit,buy,gtc,19.7948426,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-194.2383523999998
800,acec028c-7078-42c4-95f0-764d8f802fb8,2023-06-07 18:16:35.287311+00:00,2023-06-07 18:16:35.313561+00:00,2023-06-07 18:16:35.286018+00:00,2023-06-07 18:16:35.289375+00:00,,,,,91.95,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-67.75999999999996
801,d2a5f688-8a33-4970-b64f-b2a4b38aa0a1,2023-06-07 18:16:35.247535+00:00,2023-06-07 18:16:35.263904+00:00,2023-06-07 18:16:35.246333+00:00,2023-06-07 18:16:35.249807+00:00,,,,,91.93,15.0,15.0,limit,buy,gtc,92.27665562,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-45.900000000000034
802,1880def1-80b9-4510-a86c-fceef64208d8,2023-06-07 18:16:31.731202+00:00,2023-06-07 18:16:31.764033+00:00,2023-06-07 18:16:31.729936+00:00,2023-06-07 18:16:31.733235+00:00,,,,,115.545,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-80.66500000000008
803,4aa2b9f0-8699-45bc-88d0-87a6d245163e,2023-06-07 18:16:31.690926+00:00,2023-06-07 18:16:50.164650+00:00,2023-06-07 18:16:31.683334+00:00,2023-06-07 18:16:50.129696+00:00,,,,,115.54002611,14.0,14.0,limit,buy,gtc,115.54002611,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-66.36036554000003
804,deaa6bc9-deca-4519-aff7-3877569ac83d,2023-06-07 18:16:05.008064+00:00,2023-06-07 18:16:05.014226+00:00,2023-06-07 18:16:05.006650+00:00,2023-06-07 18:16:05.010167+00:00,,,,,1921.571,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-81.95100000000002
805,163f9c34-6630-4019-b02c-1ef7daf6cf7e,2023-06-07 18:16:04.954990+00:00,2023-06-07 18:16:10.013655+00:00,2023-06-07 18:16:04.953665+00:00,2023-06-07 18:16:09.976250+00:00,,,,,1921.062967137,1.0,1.0,limit,buy,gtc,1921.062967137,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-81.4429671370001
806,13b6467c-f984-40e8-8d10-58bef8aee755,2023-06-07 18:16:00.118295+00:00,2023-06-07 18:16:00.163764+00:00,2023-06-07 18:16:00.117020+00:00,2023-06-07 18:16:00.120424+00:00,,,,,61.45,33.0,33.0,market,buy,gtc,,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-57.75
807,795f063a-5c8d-4edb-821c-751896aad8dd,2023-06-07 18:16:00.065305+00:00,2023-06-07 18:16:00.163928+00:00,2023-06-07 18:16:00.064145+00:00,2023-06-07 18:16:00.125903+00:00,,,,,61.221466569,32.0,32.0,limit,buy,gtc,61.269228694,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-48.68693020799992
808,7b73e6f8-e97d-4f02-9d4a-56ca3a0b67a3,2023-06-07 18:15:57.795480+00:00,2023-06-07 18:15:57.814366+00:00,2023-06-07 18:15:57.794201+00:00,2023-06-07 18:15:57.797490+00:00,,,,,19.80622,104.0,104.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-274.16687999999976
809,9dc8a374-018b-4b58-8b19-79c4cb906459,2023-06-07 18:15:57.750222+00:00,2023-06-07 18:22:03.663645+00:00,2023-06-07 18:15:57.748952+00:00,2023-06-07 18:22:03.657400+00:00,,,,,19.79199825,80.0,80.0,limit,buy,gtc,19.79199825,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-209.75985999999978
810,2aa9aea2-4577-46bf-b8dc-13bdb6345698,2023-06-07 18:15:55.756367+00:00,2023-06-07 18:15:55.764652+00:00,2023-06-07 18:15:55.754964+00:00,2023-06-07 18:15:55.758584+00:00,,,,,91.962,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-68.02399999999997
811,8a680c48-67af-44a3-beed-a6057a0dbd7f,2023-06-07 18:15:55.710938+00:00,2023-06-07 18:15:55.764314+00:00,2023-06-07 18:15:55.709659+00:00,2023-06-07 18:15:55.713090+00:00,,,,,91.962,15.0,15.0,limit,buy,gtc,92.298056041,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-46.37999999999998
812,d62354e9-b39c-437c-bf5b-5475cad7fe23,2023-06-07 18:15:53.286447+00:00,2023-06-07 18:15:53.313867+00:00,2023-06-07 18:15:53.285237+00:00,2023-06-07 18:15:53.288059+00:00,,,,,14.632966022,141.0,141.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-141.41820910199985
813,788bb166-9c7e-48cb-8aaa-e739209e95b7,2023-06-07 18:15:53.245211+00:00,2023-06-07 18:38:38.464640+00:00,2023-06-07 18:15:53.244182+00:00,2023-06-07 18:38:38.442075+00:00,,,,,14.617512869,12.0,12.0,limit,buy,gtc,14.617512869,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-11.850154427999996
814,41076062-cd50-4748-b1c3-a4e75a04a2ee,2023-06-07 18:15:50.903121+00:00,2023-06-07 18:15:50.913682+00:00,2023-06-07 18:15:50.901859+00:00,2023-06-07 18:15:50.905335+00:00,,,,,115.65051,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-82.45867
815,ad91cd2d-10da-4cad-840b-0a35291eb96e,2023-06-07 18:15:50.855582+00:00,2023-06-07 18:16:25.763743+00:00,2023-06-07 18:15:50.854238+00:00,2023-06-07 18:16:25.732696+00:00,,,,,115.535160042,14.0,14.0,limit,buy,gtc,115.535160042,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-66.29224058800006
816,43ece3c7-3faf-4142-a479-0e3a769b1487,2023-06-07 18:15:26.636716+00:00,2023-06-07 18:15:26.664102+00:00,2023-06-07 18:15:26.635035+00:00,2023-06-07 18:15:26.639020+00:00,,,,,1922.0,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-82.38000000000011
817,59b8590b-2887-4fc6-9b0d-9a6d7f6fe8c4,2023-06-07 18:15:26.595977+00:00,2023-06-07 18:15:26.713396+00:00,2023-06-07 18:15:26.593689+00:00,2023-06-07 18:15:26.679211+00:00,,,,,1921.016124879,1.0,1.0,limit,buy,gtc,1921.016124879,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-81.39612487900013
818,b76e2339-3fc4-4652-a19f-05887e9f300b,2023-06-07 18:15:24.179217+00:00,2023-06-07 18:15:24.214372+00:00,2023-06-07 18:15:24.176764+00:00,2023-06-07 18:15:24.180953+00:00,,,,,61.269228694,33.0,33.0,market,buy,gtc,,,filled,False,,,,,8588af33-3a8e-4a09-bb6c-ba4226dc7aff,AAVE/USD,59.7,-51.78454690199987
819,180cab70-9d6f-4112-a6a2-9987ebc05ead,2023-06-07 18:15:22.281176+00:00,2023-06-07 18:15:22.313626+00:00,2023-06-07 18:15:22.279856+00:00,2023-06-07 18:15:22.282891+00:00,,,,,19.805,104.0,104.0,market,buy,gtc,,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-274.0399999999998
820,6b2f8dd9-c217-4bf1-b020-a488d2738a28,2023-06-07 18:15:22.242684+00:00,2023-06-07 18:22:07.063897+00:00,2023-06-07 18:15:22.241384+00:00,2023-06-07 18:22:07.054578+00:00,,,,,19.787664333,85.0,85.0,limit,buy,gtc,19.787664333,,filled,False,,,,,9226ef75-ba41-4a4b-a1b4-96e1a1b818f0,SOL/USD,17.17,-222.50146830499975
